,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Brasilia, Brazil",-10.3333333,-53.2,Farmacia Primavera Jasmim,-10.194669,-53.36708,Pharmacy
1,"Brasilia, Brazil",-10.3333333,-53.2,chega logo,-10.049761772155762,-53.31989288330078,Stadium
2,"Brasilia, Brazil",-10.3333333,-53.2,Hermoso Compadre,-9.972222,-53.220007,Exhibit
3,"Valparaiso, Chile",-32.5976089,-70.8529753,Helados Olguín,-32.748943745138725,-70.72513985730234,Ice Cream Shop
4,"Valparaiso, Chile",-32.5976089,-70.8529753,Centro Recreacional Palomar Caja Compensación Los Andes,-32.775409162625984,-70.79640085689716,Other Great Outdoors
5,"Valparaiso, Chile",-32.5976089,-70.8529753,Nueva Yi-Fong,-32.75066773688433,-70.72012016178373,Chinese Restaurant
6,"Valparaiso, Chile",-32.5976089,-70.8529753,Viña Errazuriz,-32.79907526047148,-70.82818458447547,Wine Bar
7,"Valparaiso, Chile",-32.5976089,-70.8529753,Manantiales de Panquehue,-32.78302820019656,-70.86106285799553,Campground
8,"Valparaiso, Chile",-32.5976089,-70.8529753,Guruguru,-32.79297080244033,-70.66982165141025,Bakery
9,"Valparaiso, Chile",-32.5976089,-70.8529753,Hotel y Restaurant Reinares,-32.74843200609996,-70.7213387075586,Bed & Breakfast
10,"Valparaiso, Chile",-32.5976089,-70.8529753,Empanadas Sonia La Unica,-32.755183993182314,-70.72424668762547,Latin American Restaurant
11,"Valparaiso, Chile",-32.5976089,-70.8529753,Termas de Jahuel Hotel & Spa,-32.684678360469896,-70.59445521376186,Hot Spring
12,"Valparaiso, Chile",-32.5976089,-70.8529753,Espacio Fitness,-32.751405125472786,-70.69989311236978,Gym / Fitness Center
13,"Valparaiso, Chile",-32.5976089,-70.8529753,Bien Hecho,-32.751110774503,-70.72612510279464,Comfort Food Restaurant
14,"Valparaiso, Chile",-32.5976089,-70.8529753,Gimnasio Atenea Natural Fitness,-32.7511412167258,-70.72068507399874,Gym
15,"Valparaiso, Chile",-32.5976089,-70.8529753,Puro jugo,-32.75495726415454,-70.72547462054207,Juice Bar
16,"Valparaiso, Chile",-32.5976089,-70.8529753,Sandwicheria Black Jack,-32.755415623209124,-70.7245233854152,Hot Dog Joint
17,"Valparaiso, Chile",-32.5976089,-70.8529753,Complejo Massport,-32.821634014875606,-70.62095032585815,Soccer Field
18,"Valparaiso, Chile",-32.5976089,-70.8529753,La estación Restaurant / Museo,-32.789798,-71.189521,Restaurant
19,"Valparaiso, Chile",-32.5976089,-70.8529753,Restaurant La Carreta,-32.754250767468896,-70.72529590455663,Diner
20,"Valparaiso, Chile",-32.5976089,-70.8529753,El Tenedor,-32.79317073616779,-71.16293671745171,Sandwich Place
21,"Valparaiso, Chile",-32.5976089,-70.8529753,Fuente De Soda Scarlett,-32.4496073774857,-71.2318189775289,Sandwich Place
22,"Valparaiso, Chile",-32.5976089,-70.8529753,El Vagón,-32.832805988579906,-70.59925380294581,Pizza Place
